Stock Name,Cohort,BKD screening,Progenitor DNA,Temperature Data
Puntledge Fall Coho,*,"2018, 2020",None,2014-2023
Puntledge Summer Chinook,*,2014-2023,2017-2023,2014-2023
Nitinat Fall Coho,*,2014-2022,"2016-2020, 2022",2014-2023
Coldwater River Spring Chinook,Spius 1,2014-2023,"2019, 2022, 2023",2017-2022
Spius Creek Spring Chinook,Spius 1,2014-2023,"2019, 2022, 2023",2017-2022
Nicola River Spring Chinook,Spius 1,2014-2023,2019-2022,2017-2022
Chilcotin River Spring Chinook,Spius 3,"2021, 2022",None,None
Chilko River Summer Chinook,Spius 4,2014-2023,2021,None
Coldwater River Fall Coho,Spius 1,2014-2023,"2017, 2020-2022",2017-2022
Spius Creek Fall Coho,Spius 1,None,None,2017-2022
Salmon River Fall Coho,Spius 2,"2014-2015, 2017-2023","2017-2018, 2020, 2022-2023",None
Eagle River Fall Coho,Spius 5,2015-2023,"2018-2020, 2022",None
